,name,price,release_date
199,2004 Jeep Liberty,4500.0,1
44,2003 Mercury Grand Marquis,7999.0,1
130,2008 Cadillac DTS,8777.0,1
9,2012 Chevrolet Equinox,9991.0,1
57,2005 Honda Element,10900.0,1
219,2010 INFINITI G,10990.0,1
223,2016 Nissan Versa,10991.0,1
183,2005 Toyota Camry,10995.0,1
24,2014 Ram 1500,12400.0,1
238,2012 Ford F-150,12499.0,1
106,2012 Nissan Murano,12599.0,1
170,2011 Chevrolet Silverado 1500,12995.0,1
260,2012 Toyota Camry,14000.0,1
33,2016 Volkswagen CC,14000.0,1
220,2014 Chevrolet Equinox,14936.0,1
195,2014 Chrysler 200,14944.0,1
193,2004 Nissan Titan,14995.0,1
159,2014 Kia Optima,14998.0,1
179,2013 Hyundai Sonata,14999.0,1
176,2011 Mazda Mazda3,15150.0,1
134,2018 Chevrolet Malibu,15387.0,1
77,2010 BMW 3 Series,15487.0,1
79,2017 Hyundai Elantra,15590.0,1
145,2013 Nissan Maxima,15638.0,1
69,2018 Buick Encore,15788.0,1
197,2013 Ford Edge,15988.0,1
191,2013 Chevrolet Silverado 2500HD,15995.0,1
84,2019 Kia Optima,15995.0,1
21,2014 Nissan Rogue,16900.0,1
15,2018 Hyundai Elantra,16995.0,1
25,2016 Chevrolet Trax,16999.0,1
132,2014 Chevrolet Silverado 1500,17000.0,1
185,2017 Kia Forte,17495.0,1
97,2018 Volkswagen Jetta,17737.0,1
85,2016 Kia Sedona,17973.0,1
249,2014 Lexus ES,17975.0,1
80,2012 Nissan Titan,17989.0,1
61,2013 Toyota RAV4,17995.0,1
218,2019 Chevrolet Malibu,17999.0,1
120,2017 Hyundai Santa Fe Sport,18561.0,1
94,2015 Buick Enclave,18703.0,1
237,2015 Chrysler Town & Country,18900.0,1
166,2019 Hyundai Kona,18985.0,1
258,2016 BMW X3,18989.0,1
198,2014 Kia Sorento,18999.0,1
99,2016 GMC Acadia,19191.0,1
58,2017 Kia Sorento,19450.0,1
149,2015 Chevrolet Equinox,19990.0,1
204,2014 Cadillac CTS,19995.0,1
63,2015 BMW 3 Series,19995.0,1
194,2017 Chevrolet Cruze,19998.0,1
30,2018 Jeep Renegade,20499.0,1
235,2018 Nissan Rogue,20499.0,1
41,2016 Honda CR-V,20900.0,1
56,2015 BMW X3,20995.0,1
70,2019 Dodge Grand Caravan,20995.0,1
53,2018 Nissan Rogue Sport,20997.0,1
116,2018 Chrysler 300,21287.0,1
165,2020 Toyota Corolla,21495.0,1
216,2020 Chevrolet Malibu,21500.0,1
224,2019 Toyota Corolla,21543.0,1
119,2017 Chevrolet Equinox,21571.0,1
1,2016 Jeep Grand Cherokee,21897.0,1
230,2011 Mercedes-Benz C-Class,21990.0,1
40,2013 Chevrolet Tahoe,22400.0,1
229,2019 Kia Sportage,22590.0,1
257,2016 Audi Q3,22699.0,1
31,2016 Honda Accord,22855.0,1
27,2017 Nissan Rogue,22900.0,1
121,2020 Chevrolet Trax,23000.0,1
178,2018 Nissan Murano,23000.0,1
151,2019 Dodge Grand Caravan,23490.0,1
150,2020 Toyota Corolla,23500.0,1
107,2017 GMC Acadia Limited,23699.0,1
225,2021 Hyundai Kona,23788.0,1
20,2010 Toyota FJ Cruiser,23892.0,1
171,2019 Nissan Rogue,23990.0,1
